@relation features-weka.filters.unsupervised.attribute.Remove-R6-7

@attribute doesHaveLinks {False,True}
@attribute doesHaveSpammyWords {False,True}
@attribute lengthOfText numeric
@attribute numberOfSymbols numeric
@attribute numberOfWordsContainingLettersAndNumbers numeric
@attribute classlabel {ham,spam}

@data
False,True,155,6,0,spam
False,False,51,1,0,ham
False,True,158,5,1,spam
False,False,74,3,0,ham
False,False,67,2,0,ham
False,False,59,5,0,ham
False,False,50,2,0,ham
False,False,94,12,0,ham
False,False,33,1,0,ham
False,False,105,6,0,ham
False,False,61,7,0,ham
False,False,65,1,0,ham
False,False,26,1,0,ham
False,False,146,14,0,ham
False,True,66,1,0,ham
False,False,126,5,0,ham
False,False,159,3,1,ham
False,False,23,2,0,ham
False,False,65,2,0,ham
False,False,24,2,0,ham
False,False,26,1,0,ham
False,False,152,7,0,ham
False,False,34,1,0,ham
False,True,151,2,0,spam
False,False,55,1,0,ham
False,False,88,5,0,ham
False,False,72,5,1,spam
False,False,185,8,0,ham
False,False,37,4,0,ham
False,False,111,2,0,ham
False,False,92,3,1,ham
False,False,28,0,0,ham
False,False,28,0,0,ham
False,False,64,2,1,ham
False,False,131,5,0,ham
False,False,40,8,0,ham
False,False,28,5,0,ham
False,True,84,0,0,ham
False,False,174,16,0,ham
False,False,24,1,0,ham
False,False,25,1,0,ham
False,False,68,3,0,ham
False,False,156,13,0,ham
False,False,28,1,0,ham
False,False,86,4,0,ham
False,False,39,3,0,ham
False,False,73,4,0,ham
False,False,26,0,0,ham
False,False,23,7,0,ham
False,False,26,7,0,ham
False,False,31,2,0,ham
False,False,58,1,0,ham
False,False,48,3,0,ham
False,False,41,3,0,ham
False,False,32,0,0,ham
False,False,159,5,0,ham
False,False,25,2,0,ham
False,False,161,5,0,ham
False,False,22,2,0,ham
False,False,119,6,0,ham
False,False,144,11,1,spam
False,False,69,2,0,ham
False,True,137,6,0,spam
False,False,30,1,0,ham
False,False,165,12,0,ham
False,False,34,0,0,ham
False,False,109,7,0,ham
False,False,37,0,0,ham
False,False,33,2,0,ham
False,False,48,4,0,ham
False,True,157,8,0,spam
False,False,50,6,0,ham
False,False,65,0,0,ham
False,False,38,2,0,ham
False,False,145,14,0,ham
False,True,145,3,0,spam
False,False,51,1,0,ham
False,False,45,0,0,ham
False,False,83,5,0,ham
False,False,155,9,0,ham
False,False,37,2,0,ham
False,False,78,3,0,ham
False,False,30,0,0,ham
False,False,31,1,1,ham
False,False,146,5,0,ham
False,True,150,3,1,spam
False,False,44,0,1,ham
False,False,179,11,0,ham
False,False,27,2,0,ham
False,False,179,3,1,ham
False,False,38,3,0,ham
False,False,97,2,0,ham
False,False,43,3,0,ham
False,False,36,4,0,ham
False,True,154,4,0,spam
False,False,80,5,0,ham
False,False,3,0,0,ham
False,False,85,4,0,ham
False,False,51,3,0,ham
False,False,121,0,1,spam
False,False,26,1,0,ham
False,False,35,1,0,ham
False,False,47,1,0,ham
False,True,159,7,4,spam
False,False,47,3,0,ham
False,True,133,3,0,spam
False,False,53,2,0,ham
False,False,147,3,0,ham
False,False,155,7,0,spam
False,False,37,1,0,ham
False,False,31,2,0,ham
False,False,8,3,0,ham
False,False,38,0,0,ham
False,False,30,2,0,ham
False,False,47,2,0,ham
False,False,56,3,0,ham
False,False,22,1,0,ham
False,False,19,1,0,ham
False,False,29,1,0,ham
False,False,7,3,0,ham
False,False,121,3,0,ham
False,False,58,1,0,ham
False,False,4,2,0,ham
False,False,148,1,0,ham
False,False,160,14,0,ham
False,False,152,7,0,ham
False,False,37,1,0,ham
False,False,55,2,0,ham
False,False,21,2,0,ham
False,False,22,0,0,ham
False,False,50,2,0,ham
False,True,159,8,0,spam
False,False,67,1,0,ham
False,False,153,11,0,ham
False,False,51,1,0,ham
False,False,67,3,0,ham
False,False,88,2,0,ham
False,False,157,5,0,ham
False,False,91,2,0,ham
False,False,24,0,0,ham
True,False,146,15,1,spam
False,False,57,9,0,ham
False,False,26,1,0,ham
False,False,71,3,0,ham
False,True,138,6,0,spam
False,False,55,2,0,ham
False,False,156,3,3,ham
False,False,135,10,1,spam
False,False,119,3,0,ham
False,False,142,6,0,ham
False,False,41,2,0,ham
False,False,26,4,0,ham
False,False,119,14,0,ham
False,False,46,4,0,ham
False,True,157,4,0,spam
False,False,23,4,0,ham
False,False,51,3,0,ham
False,False,62,6,0,ham
False,False,107,2,1,ham
False,False,157,6,0,ham
False,False,30,2,0,ham
False,False,32,4,0,ham
False,False,31,3,0,ham
False,False,79,4,0,ham
False,False,32,2,0,ham
False,False,86,3,0,ham
False,False,22,5,0,ham
False,False,76,4,0,ham
False,False,128,4,0,spam
False,False,232,4,0,ham
False,False,160,7,0,spam
False,False,45,4,0,ham
False,False,57,2,0,ham
False,False,26,2,0,ham
False,False,22,2,0,ham
False,False,41,4,0,ham
False,False,28,2,0,ham
False,False,151,4,1,ham
False,False,29,1,0,ham
False,False,34,1,0,ham
False,False,52,1,0,ham
False,False,33,7,0,ham
False,False,85,4,0,ham
False,False,31,1,0,ham
False,True,111,8,0,spam
False,False,78,2,0,ham
False,False,50,3,0,ham
False,False,63,2,0,ham
False,False,148,7,0,ham
False,False,129,1,0,ham
False,False,45,7,0,ham
False,False,202,7,0,ham
False,True,150,3,1,spam
False,False,148,9,0,spam
False,False,168,10,0,ham
False,False,85,5,0,ham
False,False,38,7,0,ham
False,False,15,2,0,ham
False,False,31,1,0,ham
False,False,88,5,0,ham
False,False,160,8,0,ham
False,False,50,2,0,ham
False,False,165,11,1,spam
False,True,129,6,0,spam
False,False,26,2,0,ham
False,False,31,2,0,ham
False,False,129,9,0,ham
False,False,34,2,0,ham
False,False,54,8,0,ham
False,False,162,1,0,ham
False,False,157,3,0,spam
False,False,23,0,0,ham
False,False,53,6,0,ham
False,False,131,3,0,ham
False,False,36,0,0,ham
False,False,143,5,0,ham
False,False,300,14,0,ham
False,False,59,1,0,ham
False,False,42,5,0,ham
False,False,41,4,0,ham
False,False,149,4,2,spam
False,False,22,0,0,ham
False,False,31,1,0,ham
False,False,30,0,0,ham
False,False,155,4,3,spam
False,False,47,3,0,ham
False,False,25,4,0,ham
False,False,80,2,0,ham
False,False,22,1,0,ham
False,False,115,2,0,ham
False,False,56,3,0,ham
False,False,102,3,0,ham
False,False,118,4,0,ham
False,False,221,6,0,ham
False,False,204,11,0,ham
False,False,114,11,0,ham
False,True,160,3,1,spam
False,False,39,1,0,ham
False,False,36,1,0,ham
False,False,48,1,0,ham
False,False,77,6,0,ham
False,False,60,1,0,ham
False,False,168,6,0,ham
False,False,51,3,0,ham
False,False,22,0,0,ham
False,False,152,9,0,ham
False,False,75,0,0,ham
False,False,30,0,0,ham
False,False,95,12,0,ham
False,False,24,1,0,ham
False,False,49,1,1,spam
False,False,35,1,0,ham
False,False,29,0,0,ham
False,False,108,5,0,spam
False,False,66,3,0,ham
False,False,159,3,4,spam
False,False,48,4,0,ham
False,False,162,2,1,spam
False,False,24,3,0,ham
False,False,138,4,1,spam
False,True,248,30,0,ham
False,False,25,3,0,ham
False,False,27,4,0,ham
False,False,37,1,0,ham
False,False,71,5,0,ham
False,False,150,17,0,ham
False,False,24,1,0,ham
False,False,80,0,0,ham
False,False,157,2,4,spam
False,False,25,1,0,ham
False,False,73,9,0,ham
False,False,89,17,0,ham
False,False,58,2,0,ham
False,False,36,0,0,ham
False,False,76,3,0,ham
False,False,47,2,0,ham
False,False,104,8,0,ham
False,False,38,4,0,ham
False,False,69,9,0,ham
False,False,22,2,0,ham
False,False,66,2,0,ham
False,False,94,6,0,ham
False,False,70,6,0,ham
False,False,73,3,0,ham
False,False,42,4,0,ham
False,False,17,3,0,ham
False,False,13,1,0,ham
False,False,45,0,0,ham
False,False,57,6,0,ham
False,False,105,2,0,ham
False,False,166,9,0,spam
False,False,47,2,0,ham
False,False,125,3,0,ham
False,False,158,3,0,ham
False,False,79,6,0,ham
False,False,142,3,0,ham
False,False,62,1,0,ham
False,False,71,2,0,ham
False,True,175,8,1,spam
False,False,29,2,0,ham
False,False,29,0,0,ham
False,False,148,11,0,ham
False,False,83,2,0,ham
False,False,37,1,0,ham
False,False,44,4,0,ham
False,False,45,2,0,ham
False,False,161,5,3,spam
False,False,50,2,0,ham
False,False,298,18,1,ham
False,False,159,7,0,spam
False,False,125,10,0,ham
False,False,51,1,0,ham
False,False,28,4,0,ham
False,False,34,3,0,ham
False,False,46,3,1,ham
False,False,81,2,0,ham
False,False,28,1,0,ham
False,False,90,3,0,ham
False,False,18,3,0,ham
False,False,54,4,0,ham
False,False,55,0,0,ham
False,True,45,1,0,ham
False,True,146,4,0,spam
False,False,40,1,0,ham
False,False,107,4,0,ham
False,False,50,2,0,ham
False,False,120,2,0,ham
False,False,160,12,0,spam
False,False,32,2,0,ham
False,False,34,6,0,ham
False,False,32,2,0,ham
False,False,16,4,0,ham
False,False,67,6,0,ham
False,False,55,2,0,ham
False,False,43,2,0,ham
False,False,23,0,0,ham
False,True,149,4,1,ham
False,False,23,2,0,ham
False,False,23,1,0,ham
False,False,40,5,0,ham
False,True,171,7,1,spam
False,False,117,5,0,ham
False,False,62,2,0,ham
False,False,166,12,0,ham
False,False,24,2,0,ham
False,False,136,12,0,ham
False,False,99,2,0,ham
False,False,45,8,0,ham
False,False,23,2,0,ham
False,False,25,4,0,ham
False,True,149,7,3,spam
False,False,26,3,0,ham
False,True,146,7,2,spam
True,False,89,5,0,spam
False,False,168,5,0,ham
False,False,117,3,0,ham
False,False,46,2,0,ham
False,False,26,0,0,ham
False,False,28,0,0,ham
False,False,32,3,0,ham
False,False,146,10,2,spam
False,False,57,4,0,ham
False,True,162,10,0,spam
False,False,42,2,0,ham
False,False,111,1,0,spam
False,False,36,2,0,ham
False,False,146,8,0,spam
False,False,50,7,0,ham
False,False,33,7,0,ham
False,False,15,4,0,ham
False,False,177,6,1,ham
False,False,160,5,0,ham
False,False,63,4,0,ham
False,False,84,2,0,ham
False,False,84,2,0,ham
False,False,57,2,0,ham
False,True,96,6,2,spam
False,False,169,15,0,ham
False,False,76,4,0,ham
False,False,47,2,0,ham
False,False,130,3,0,ham
False,False,23,1,0,ham
False,False,149,3,0,ham
False,False,32,1,0,ham
False,False,22,7,0,ham
False,False,101,4,0,ham
False,False,281,9,0,ham
False,False,54,3,0,ham
False,False,120,2,0,ham
False,False,138,4,0,ham
False,False,159,1,0,ham
False,False,66,2,0,ham
False,False,40,4,0,ham
False,False,40,1,0,ham
False,False,70,4,0,ham
False,True,160,19,0,ham
False,False,26,5,0,ham
False,False,32,4,0,ham
False,False,51,3,0,ham
False,True,161,6,2,spam
False,False,146,16,0,ham
False,False,103,2,1,ham
False,False,45,2,0,ham
False,False,142,7,0,ham
False,False,92,3,0,ham
False,False,26,1,0,ham
False,False,134,9,0,ham
False,False,37,0,0,ham
False,False,22,1,0,ham
False,False,22,1,0,ham
False,False,33,3,0,ham
False,True,69,6,1,spam
False,False,109,5,0,ham
False,False,40,2,0,ham
False,True,101,2,0,spam
False,False,140,5,0,ham
False,False,53,4,0,ham
False,False,46,0,0,ham
False,True,149,0,0,spam
False,False,63,3,0,ham
False,False,95,4,0,ham
False,False,69,1,0,ham
False,False,110,12,0,ham
False,False,53,2,0,ham
False,False,27,0,0,ham
False,False,34,2,0,ham
False,True,128,11,0,spam
False,False,142,7,0,spam
False,False,148,9,0,spam
False,False,24,1,0,ham
False,False,147,9,0,ham
False,False,24,2,0,ham
False,False,29,0,0,ham
False,False,86,2,0,spam
False,False,87,3,0,ham
False,False,38,3,0,ham
False,False,104,8,0,ham
False,False,59,4,0,ham
False,True,38,1,0,ham
False,False,38,1,0,ham
False,False,22,3,0,ham
False,False,25,0,0,ham
False,False,135,8,1,spam
False,False,87,0,0,ham
False,False,19,3,0,ham
False,False,66,4,0,ham
False,False,140,2,1,spam
False,False,156,9,0,ham
False,False,22,0,0,ham
False,False,107,1,1,ham
False,False,65,3,0,ham
False,False,147,6,0,ham
False,False,137,4,0,ham
False,False,25,2,0,ham
False,False,62,7,0,ham
False,False,103,3,0,ham
False,False,37,5,0,ham
False,False,58,5,0,ham
False,False,87,1,0,ham
False,False,58,4,0,ham
False,True,123,3,0,ham
False,False,67,2,1,ham
False,False,66,1,0,ham
False,False,102,2,0,ham
False,False,130,2,1,spam
False,False,152,2,0,spam
False,False,35,1,0,ham
False,False,8,1,0,ham
False,False,62,1,0,ham
False,False,64,2,0,ham
True,True,143,13,0,spam
False,False,20,3,0,ham
False,False,100,3,0,ham
False,False,55,6,0,ham
False,False,36,2,0,ham
False,False,53,1,0,ham
False,False,88,3,0,ham
False,False,133,7,0,ham
False,False,36,0,0,ham
False,False,37,3,0,ham
False,False,139,3,0,ham
False,False,92,8,0,ham
False,False,80,2,0,ham
False,False,136,9,0,spam
False,False,35,2,0,ham
False,True,97,11,2,spam
False,False,66,4,0,ham
False,False,119,6,0,ham
False,False,65,3,0,ham
False,False,26,1,0,ham
False,False,28,0,0,ham
False,False,45,1,0,ham
False,False,157,4,0,ham
False,False,36,0,0,ham
False,False,94,3,0,ham
False,False,59,0,0,spam
False,False,140,11,0,ham
False,False,22,2,0,ham
False,False,59,7,0,ham
False,False,43,9,0,ham
False,False,61,3,0,ham
False,False,56,4,0,ham
False,False,54,1,0,ham
False,False,37,6,0,ham
False,False,25,1,0,ham
False,False,21,1,0,ham
False,False,36,2,0,ham
False,False,42,3,1,spam
False,True,155,3,2,spam
False,False,153,7,0,ham
False,False,46,8,0,ham
False,False,34,3,0,ham
False,False,80,4,0,ham
False,False,69,8,0,ham
False,False,24,1,0,ham
False,False,108,6,0,ham
False,False,46,4,0,ham
False,False,34,2,1,ham
False,False,22,1,0,ham
False,False,158,9,3,spam
False,False,89,3,0,ham
False,False,30,3,0,ham
False,False,143,4,1,ham
False,False,169,6,0,ham
False,False,42,2,0,ham
False,False,111,3,0,spam
False,False,18,1,0,ham
False,False,109,8,1,ham
False,False,76,3,0,ham
False,False,73,2,0,ham
False,False,92,1,0,ham
False,False,36,2,0,ham
False,False,54,3,0,ham
False,False,82,2,0,ham
False,False,32,4,0,ham
False,True,40,4,0,ham
False,False,31,2,0,ham
False,False,22,2,0,ham
False,False,77,0,0,ham
False,False,109,6,0,ham
False,False,75,7,0,ham
False,False,76,2,0,ham
False,False,30,0,0,ham
False,False,49,6,0,ham
False,True,155,6,0,spam
False,False,160,6,2,spam
False,False,269,12,0,ham
False,False,195,0,0,ham
False,False,37,1,1,spam
False,False,125,3,0,ham
False,False,48,2,0,ham
False,False,39,1,0,ham
False,False,165,7,3,spam
False,False,121,9,1,ham
False,True,149,2,0,spam
False,False,162,4,0,ham
False,False,29,1,0,ham
False,False,38,4,0,ham
False,False,25,1,0,ham
False,False,40,0,0,ham
False,False,226,10,0,ham
False,False,70,5,0,ham
False,False,140,13,0,ham
False,False,47,1,1,ham
False,False,63,2,0,ham
False,False,17,1,0,ham
False,False,101,4,0,spam
False,False,41,3,0,ham
False,False,80,2,0,ham
False,True,137,4,0,ham
False,False,103,3,0,ham
False,False,29,0,0,ham
False,False,51,2,0,ham
False,False,150,9,1,spam
False,False,25,1,0,ham
False,False,149,7,0,ham
False,False,38,2,0,ham
False,False,62,4,0,ham
False,False,185,8,0,ham
False,False,34,2,0,ham
False,False,47,2,0,ham
False,False,40,2,0,ham
False,False,110,5,0,ham
False,False,133,1,0,spam
False,False,101,2,0,ham
False,False,42,1,0,ham
False,False,102,3,0,spam
False,False,65,1,0,spam
False,False,27,0,0,ham
False,False,31,0,0,ham
False,False,82,6,0,ham
False,False,23,1,0,ham
False,False,59,2,0,ham
False,False,133,5,0,ham
False,False,33,0,0,ham
False,False,95,4,0,ham
False,False,97,5,0,spam
False,False,135,6,0,ham
False,True,163,5,1,spam
False,False,151,12,0,ham
False,False,73,4,0,ham
False,False,153,5,0,spam
False,False,103,10,0,ham
False,False,22,2,0,ham
False,False,51,1,0,ham
False,False,137,6,0,ham
False,False,58,1,0,ham
False,False,89,5,0,ham
False,False,81,1,0,ham
False,False,57,6,0,ham
False,False,26,2,0,ham
False,False,32,1,0,ham
False,False,145,2,0,ham
False,False,120,4,0,ham
False,False,143,3,0,ham
False,False,23,0,0,ham
False,False,136,12,0,ham
False,False,94,11,0,ham
False,False,8,1,0,ham
False,False,99,2,0,spam
False,False,65,1,1,ham
False,False,71,3,0,ham
False,False,117,3,0,ham
False,True,129,5,0,spam
False,False,159,6,0,spam
False,False,28,0,0,ham
False,False,150,4,0,ham
False,False,31,3,0,ham
False,False,76,11,0,ham
False,False,70,3,0,ham
False,False,94,6,0,ham
False,False,48,2,0,ham
False,True,160,8,0,spam
False,False,96,2,0,ham
False,False,31,1,1,ham
False,False,41,7,0,ham
False,False,156,9,0,spam
False,False,71,7,0,ham
False,True,162,7,3,spam
False,True,145,4,2,spam
False,False,25,2,0,ham
False,False,22,0,1,ham
False,False,48,2,0,ham
False,False,33,2,0,ham
False,False,44,0,0,ham
False,False,47,4,0,ham
False,False,26,10,0,ham
False,False,112,4,0,ham
False,True,152,3,0,spam
False,False,19,1,0,ham
False,True,133,5,1,spam
False,False,48,6,0,ham
False,False,107,4,0,ham
False,False,38,0,0,ham
False,False,27,0,0,ham
False,False,131,8,1,ham
False,False,131,9,0,ham
False,True,23,0,0,ham
False,False,156,10,2,spam
False,False,161,5,1,spam
False,False,25,1,0,ham
False,False,42,10,0,ham
False,False,27,2,0,ham
False,False,22,2,0,ham
False,False,98,6,0,ham
False,False,89,3,0,ham
False,True,147,6,0,spam
False,False,134,1,0,ham
True,True,152,13,0,spam
False,False,215,8,0,ham
False,False,26,2,0,ham
False,False,66,14,0,ham
False,True,149,0,0,spam
False,False,372,13,0,ham
False,True,155,0,0,spam
False,True,164,7,0,spam
False,False,86,0,1,ham
False,False,73,3,0,ham
False,False,76,3,0,ham
False,True,153,6,2,spam
False,False,24,4,0,ham
False,False,231,10,0,ham
False,False,87,3,0,ham
False,False,72,8,0,ham
False,False,105,4,0,ham
False,True,162,10,0,spam
False,False,54,2,0,ham
False,False,58,5,0,ham
False,False,54,1,0,ham
False,False,116,5,0,ham
False,False,88,5,0,ham
False,False,144,4,0,spam
False,False,29,1,0,ham
False,False,136,7,0,ham
False,False,23,1,0,ham
False,False,39,0,0,ham
False,False,35,2,0,ham
False,False,24,0,0,ham
False,False,95,4,0,ham
False,False,73,1,0,ham
False,False,45,0,0,ham
False,False,162,4,1,spam
False,False,159,2,0,ham
False,False,149,9,0,spam
False,False,134,4,0,spam
False,False,154,4,0,spam
False,False,92,2,0,ham
False,False,102,8,0,ham
False,False,31,1,0,ham
False,False,77,3,0,ham
False,False,139,19,0,ham
False,True,160,7,2,spam
False,False,44,1,0,ham
False,False,138,5,0,spam
False,True,132,3,0,spam
False,False,143,5,0,spam
True,False,127,9,0,spam
False,False,276,9,0,ham
False,False,78,5,0,ham
False,False,27,0,0,ham
False,False,79,1,0,ham
False,False,24,1,0,ham
False,False,52,2,0,ham
False,False,68,5,0,ham
False,False,24,0,0,ham
False,False,44,1,0,ham
False,False,24,1,0,ham
False,False,55,4,0,ham
False,False,62,7,0,ham
False,False,104,5,0,ham
False,False,87,7,0,ham
False,False,148,8,0,ham
False,False,49,1,0,ham
False,False,154,7,0,ham
False,False,56,4,0,ham
False,False,124,5,0,spam
False,False,126,2,0,ham
False,False,43,2,0,ham
False,False,77,2,0,ham
False,False,49,4,0,ham
False,False,84,2,0,ham
False,False,49,2,0,ham
False,False,162,6,0,spam
False,False,79,2,0,ham
False,False,31,0,0,ham
False,False,155,11,0,spam
False,False,146,4,0,ham
False,False,23,1,0,ham
False,False,160,11,0,ham
False,False,62,2,0,ham
False,False,39,2,0,ham
False,False,67,0,0,ham
False,False,73,1,0,ham
False,False,148,11,0,ham
False,False,88,2,0,ham
False,False,37,1,0,ham
False,False,23,0,0,ham
False,False,56,2,0,ham
False,False,53,2,0,ham
False,False,73,5,0,ham
False,False,80,4,0,ham
False,False,44,8,0,ham
False,False,92,5,0,ham
False,False,35,4,0,ham
False,False,23,1,0,ham
False,True,141,6,2,spam
False,False,106,8,0,ham
False,False,103,1,0,ham
False,False,34,0,0,ham
False,False,77,2,0,ham
False,False,160,5,2,spam
False,False,26,3,0,ham
False,False,47,4,0,ham
False,False,24,4,0,ham
False,True,150,6,3,spam
False,False,133,4,0,ham
False,False,126,6,0,ham
False,False,78,2,0,ham
False,True,132,5,0,spam
False,False,116,1,0,ham
False,False,221,4,0,ham
False,False,59,4,0,ham
False,False,137,8,0,spam
False,False,143,4,0,ham
False,False,24,0,0,ham
False,False,38,1,0,ham
False,False,42,2,0,ham
False,False,24,6,0,ham
False,False,157,9,0,ham
False,False,47,1,0,ham
False,False,41,0,0,spam
False,False,122,13,0,ham
False,False,126,7,0,ham
False,False,26,0,0,ham
False,True,114,4,0,ham
False,False,7,1,0,ham
False,False,34,2,0,ham
False,True,158,5,1,spam
False,False,92,8,0,ham
False,False,90,3,0,ham
False,False,22,0,0,ham
False,False,85,6,0,ham
False,False,63,3,0,ham
False,False,220,9,0,ham
False,False,41,1,0,ham
False,False,60,3,0,ham
False,False,88,4,0,ham
False,False,31,1,0,ham
False,False,37,1,0,ham
False,False,28,1,0,ham
False,False,24,3,0,ham
False,False,118,1,0,ham
False,False,22,0,0,ham
False,False,210,2,0,ham
False,False,50,8,0,ham
False,False,49,2,0,ham
False,False,87,2,0,ham
False,False,61,2,0,ham
False,True,141,7,1,spam
False,False,54,1,0,ham
False,False,28,0,0,ham
False,False,49,6,0,ham
False,False,53,9,0,ham
False,False,145,13,0,ham
False,False,164,13,2,ham
False,False,53,3,0,ham
False,False,12,0,1,ham
False,False,142,4,1,ham
False,False,79,10,0,ham
False,False,129,11,0,ham
False,False,33,4,0,ham
False,False,47,7,0,ham
False,False,72,3,0,ham
False,False,148,5,0,ham
False,False,113,5,0,ham
False,False,41,1,0,ham
False,False,23,4,0,ham
False,True,151,2,0,spam
False,False,104,8,0,ham
False,False,45,6,0,ham
False,False,26,1,0,ham
False,False,37,0,0,ham
False,False,150,6,2,spam
False,False,132,7,0,ham
False,False,63,10,0,ham
False,False,108,7,0,ham
False,False,93,0,0,ham
False,False,43,2,0,ham
False,False,50,6,0,ham
False,False,56,3,0,ham
False,False,37,4,0,ham
False,True,124,7,0,ham
False,True,158,6,3,spam
False,False,38,1,0,ham
False,False,53,7,0,ham
False,False,31,3,0,ham
False,False,224,9,0,ham
False,False,156,4,1,spam
False,False,24,1,0,ham
False,False,24,0,0,ham
False,False,52,2,0,ham
False,False,48,2,0,ham
False,False,28,1,0,ham
False,False,43,2,0,ham
False,False,49,3,0,ham
False,False,26,2,0,ham
False,False,58,2,0,ham
False,False,17,3,0,ham
False,False,26,1,0,ham
False,False,127,9,0,ham
False,False,103,0,1,ham
False,False,157,11,0,ham
False,False,34,1,0,ham
False,False,128,11,0,ham
False,False,142,5,0,ham
False,False,51,2,0,ham
False,False,60,1,0,ham
False,False,30,2,0,ham
False,False,41,3,0,ham
False,False,107,3,0,ham
False,False,101,3,2,spam
False,False,19,3,0,ham
False,False,112,6,0,ham
False,False,104,6,0,spam
False,False,82,2,0,ham
False,False,135,3,1,spam
False,False,41,1,0,ham
False,False,46,1,1,ham
False,False,136,3,0,ham
False,False,46,1,0,ham
False,False,157,6,0,ham
False,False,24,2,0,ham
False,False,17,1,0,ham
False,False,20,2,0,ham
False,False,84,5,0,ham
